window_id,cost,migrations,attacker_count,cohabitation_time_cumulative,cohabitation_malicious_vm_count,server_total_risk,vm_average_risk,cpu_utilization_avg,memory_utilization_avg,migrations_cumulative,active_servers_count,cpu_utilization_instant,memory_utilization_instant,cluster_risk,power_consumption,migration_cost,resource_contention
152,10.793439951822348,0,44,18408,39,5990.0,0.1198,55.97609869281046,233.06998888888887,152,20,60.94290000000002,235.0911,11.98,20.0,0.0,0.007199759111731086
153,10.890759403904092,0,44,18530,39,6112.0,0.12224,56.002922727272725,233.083062987013,152,20,60.10699999999999,235.08339999999998,12.224,20.0,0.0,0.005797019520448465
154,10.98865875837519,0,44,18652,39,6234.0,0.12468,56.033386451612905,233.0960793548387,152,20,60.7248,235.10059999999993,12.468,20.0,0.0,0.007293791875942618
155,10.737253571881471,4,44,18775,39,5868.0,0.11736,55.96353846153846,233.10895769230768,156,20,45.137100000000004,235.1051,11.736,20.0,0.4208,0.0038678594073414643
156,10.793700059524749,0,44,18898,39,5991.0,0.11982,55.934871337579615,233.12171592356688,156,20,51.462799999999994,235.11200000000002,11.982,20.0,0.0,0.004500297623743422
157,10.826897164597241,3,44,19022,41,5993.0,0.11986000000000001,55.92234430379746,233.13436582278482,159,20,53.95559999999999,235.12040000000002,11.986,20.0,0.31561120000000004,0.004680222986213449
158,10.894438728801136,0,44,19146,41,6117.0,0.12234,55.899342138364766,233.14686540880504,159,20,52.265,235.12179999999998,12.234,20.0,0.0,0.004193644005680921
159,10.993569135796527,0,44,19270,41,6241.0,0.12481999999999999,55.81514499999999,233.1592475,159,20,42.427800000000005,235.128,12.482,20.0,0.0,0.0038456789826396202
160,11.093049039645152,0,44,19394,41,6365.0,0.1273,55.769486335403705,233.17126894409938,159,20,48.464099999999995,235.09470000000002,12.73,20.0,0.0,0.0052451982257574
161,10.630106391166136,5,44,19517,41,5721.0,0.11442000000000001,55.724237037037014,233.1831111111111,164,20,48.4391,235.08969999999994,11.442,20.0,0.5245099999999999,0.004276955830676991
162,10.676112524453053,0,44,19640,41,5844.0,0.11688000000000001,55.65450736196317,233.1949116564417,164,20,44.3583,235.1066,11.688,20.0,0.0,0.004562622265262792
163,10.565245653734744,2,44,19764,41,5679.0,0.11358,55.65844756097559,233.20658048780484,166,20,56.30069999999999,235.10860000000002,11.358,20.0,0.21003,0.0052132686737094295
164,10.643632980121387,0,44,19888,41,5803.0,0.11606,55.67646484848482,233.2181218181818,166,20,58.631299999999996,235.11090000000004,11.606,20.0,0.0,0.006164900606933572
165,10.742409859331387,0,44,20012,41,5927.0,0.11853999999999999,55.64438734939756,233.22951084337345,166,20,50.351600000000005,235.1087,11.854,20.0,0.0,0.004049296656930647
166,10.841721901419701,0,44,20136,41,6051.0,0.12102,55.67833592814368,233.24081856287418,166,20,61.31379999999999,235.11789999999996,12.102,20.0,0.0,0.004609507098497899
167,10.93164267238342,2,44,20260,41,6137.0,0.12273999999999999,55.68583571428568,233.25197083333327,168,20,56.938300000000005,235.11440000000002,12.274,20.0,0.20987999999999998,0.005273361917099412
168,10.649540066192289,5,44,20388,41,5745.0,0.1149,55.64699822485205,233.26300473372774,173,20,49.1223,235.11669999999995,11.49,20.0,0.52455,0.0054253309614423414
169,10.699454985451629,0,44,20516,41,5873.0,0.11746000000000001,55.6396982352941,233.27389411764702,173,20,54.406000000000006,235.11419999999998,11.746,20.0,0.0,0.005274927258151681
170,10.801867259541417,0,44,20644,41,6001.0,0.12002,55.58401169590641,233.2845959064327,173,20,46.1173,235.1039,12.002,20.0,0.0,0.005336297707083423
171,10.904350106739896,0,44,20772,41,6129.0,0.12258,55.61770988372091,233.2951802325581,173,20,61.38010000000001,235.1051,12.258,20.0,0.0,0.005750533699483279
172,10.38769496013493,5,44,20903,44,5418.0,0.10836,55.57030635838149,233.30566531791905,178,20,47.41690000000001,235.10909999999998,10.836,20.0,0.5242094,0.004370100674651408
173,10.440300097689411,0,44,21034,44,5549.0,0.11098000000000001,55.5786109195402,233.31604827586204,178,20,57.0153,235.11229999999995,11.098,20.0,0.0,0.005500488447052723
174,10.545222086724548,0,44,21165,44,5680.0,0.11359999999999999,55.568427999999976,233.3262211428571,178,20,53.7966,235.0963,11.36,20.0,0.0,0.006110433622742048
